Adams County
Adams County Christian Academy, Gettysburg
Elk Lake Junior Senior High School [19], Dimock
Forest City Regional High School, Forest City
Montrose Area Junior Senior High School [20], Montrose
Mountain View Junior Senior High School, Kingsley
Susquehanna Community Junior Senior High School, Susquehanna
Tioga County
Cowanesque Valley Junior/Senior High School,[21], Westfield
North Penn-Liberty Senior High School, Liberty
Mansfield Junior Senior High School, Mansfield
New Covenant Academy, Mansfield
North Penn Junior/Senior High School, Blossburg closed 2014[2]
Wellsboro Area High School [22], Wellsboro
Williamson Senior High School, Tioga
Union County
Lewisburg Area High School, Lewisburg
Mifflinburg Area High School, Mifflinburg
Venango County
Cranberry Area Junior/Senior High School, Seneca
Franklin Area High School, Franklin
Oil City High School, Oil City
Rocky Grove Junior/Senior High School, Franklin
Venango Catholic High School, Oil City*
Christian Life Academy, Seneca
Warren County
Eisenhower Middle/High School, Russell
Sheffield Area Middle/High School, Sheffield
Warren Area High School, Warren
Youngsville High School, Youngsville
Washington County
Avella Area Junior/Senior High School, Avella
Bentworth High School, Bentleyville
Bethlehem-Center High School, Fredericktown
Burgettstown Junior/Senior High School, Burgettstown
California Area High School, Coal Center
Canon-McMillan High School, Canonsburg
Charleroi Area High School, Charleroi
Chartiers-Houston Junior/Senior High School, Houston
Fort Cherry Jr/Sr High School [23], McDonald
McGuffey High School, Claysville
Peters Township High School, Peters Township
Ringgold High School, Monongahela
Trinity High School, Washington
Washington High School, Washington
Wayne County
Canaan Christian Academy, Lake Ariel
Damascus Christian Academy, Damascus
Honesdale High School, Honesdale
Wallenpaupack Area High School, Hawley
Western Wayne High School, Lake Ariel
Westmoreland County
Belle Vernon Area High School, Belle Vernon
Burrell High School, Lower Burrell
Derry Area High School, Derry
Franklin Regional High School, Murrysville
Greater Latrobe High School, Latrobe
Greensburg Central Catholic High School, Greensburg
Greensburg-Salem High School, Greensburg
Hempfield Area High School, Hempfield Township
Jeannette High School, Jeannette
Kiski Area High School, Vandergrift
Laurel Valley Middle/High School, New Florence
Ligonier Valley High School, Ligonier
Monessen High School, Monessen
Mount Carmel Christian School, Mount Pleasant
Mount Pleasant Area Junior/Senior High School, Mount Pleasant
Norwin High School, North Huntingdon
Penn-Trafford School District, Harrison City
Ridgeview Academy Charter School, Latrobe
Southmoreland High School, Alverton
Valley High School, New Kensington
Yough Senior High School, Herminie
Wyoming County
Lackawanna Trail Junior/Senior High School, Factoryville
Tunkhannock High School, Tunkhannock
York County
Central York High School, York
Christian School of York, York
Crispus Attucks Youthbuild Charter School, York
Dallastown Area High School, Dallastown
Dover Area High School, Dover
Eastern York High School, Wrightsville
Hanover High School, Hanover
Kennard-Dale High School, Fawn Grove
Northeastern Senior High School, Manchester
Northern High School, Dillsburg
Red Land High School, Lewisberry
Red Lion Area High School, Red Lion
South Western Senior High School, Hanover
Spring Grove Area Senior High School, Spring Grove
Susquehannock High School, Glen Rock
West York Area High School, York
William Penn High School, York
York Catholic High School, York
York Country Day School, York
York County High School, York
York County School of Technology, York
York Suburban Senior High School, York
